 table_schema |          table_name          
--------------+------------------------------
 cron         | job
 cron         | job_run_details
 extensions   | pg_stat_statements
 extensions   | pg_stat_statements_info
 net          | _http_response
 net          | http_request_queue
 public       | coop_balances
 public       | coop_ledger
 public       | emails_sortants
 public       | exploitation_labels
 public       | facture_lignes
 public       | facture_sequences_producteur
 public       | factures
 public       | legal_documents
 public       | legal_entities
 public       | legal_entities_public
 public       | lot_inputs
 public       | lot_labels
 public       | lot_price_breakdown
 public       | lot_reservations
 public       | lot_trace_steps
 public       | lots
 public       | notifications
 public       | order_items
 public       | order_participants
 public       | order_pickup_slots
 public       | order_products
 public       | order_status_history
 public       | orders
 public       | payments
 public       | pending_documents_view
 public       | platform_fee_costs
 public       | platform_settings
 public       | product_images
 public       | product_ingredients
 public       | product_journey_steps
 public       | product_labels
 public       | product_questions
 public       | product_reviews
 public       | products
 public       | profiles
 public       | v_products_listing
(42 lignes)

 table_schema |          table_name          | ordinal_position |             column_name             |        data_type         | is_nullable 
 extensions   | pg_stat_statements           |               12 | calls                               | bigint                   | YES
 extensions   | pg_stat_statements           |               13 | total_exec_time                     | double precision         | YES
 extensions   | pg_stat_statements           |               14 | min_exec_time                       | double precision         | YES
 extensions   | pg_stat_statements           |               15 | max_exec_time                       | double precision         | YES
 extensions   | pg_stat_statements           |               16 | mean_exec_time                      | double precision         | YES
 extensions   | pg_stat_statements           |               17 | stddev_exec_time                    | double precision         | YES
 extensions   | pg_stat_statements           |               18 | rows                                | bigint                   | YES
 extensions   | pg_stat_statements           |               19 | shared_blks_hit                     | bigint                   | YES
 extensions   | pg_stat_statements           |               20 | shared_blks_read                    | bigint                   | YES
 extensions   | pg_stat_statements           |               21 | shared_blks_dirtied                 | bigint                   | YES
 extensions   | pg_stat_statements           |               22 | shared_blks_written                 | bigint                   | YES
 extensions   | pg_stat_statements           |               23 | local_blks_hit                      | bigint                   | YES
 extensions   | pg_stat_statements           |               24 | local_blks_read                     | bigint                   | YES
 extensions   | pg_stat_statements           |               25 | local_blks_dirtied                  | bigint                   | YES
 extensions   | pg_stat_statements           |               26 | local_blks_written                  | bigint                   | YES
 extensions   | pg_stat_statements           |               27 | temp_blks_read                      | bigint                   | YES
 extensions   | pg_stat_statements           |               28 | temp_blks_written                   | bigint                   | YES
 extensions   | pg_stat_statements           |               29 | shared_blk_read_time                | double precision         | YES
 extensions   | pg_stat_statements           |               30 | shared_blk_write_time               | double precision         | YES
 extensions   | pg_stat_statements           |               31 | local_blk_read_time                 | double precision         | YES
 extensions   | pg_stat_statements           |               32 | local_blk_write_time                | double precision         | YES
 extensions   | pg_stat_statements           |               33 | temp_blk_read_time                  | double precision         | YES
 extensions   | pg_stat_statements           |               34 | temp_blk_write_time                 | double precision         | YES
 extensions   | pg_stat_statements           |               35 | wal_records                         | bigint                   | YES
 extensions   | pg_stat_statements           |               36 | wal_fpi                             | bigint                   | YES
 extensions   | pg_stat_statements           |               37 | wal_bytes                           | numeric                  | YES
 extensions   | pg_stat_statements           |               38 | jit_functions                       | bigint                   | YES
 extensions   | pg_stat_statements           |               39 | jit_generation_time                 | double precision         | YES
 extensions   | pg_stat_statements           |               40 | jit_inlining_count                  | bigint                   | YES
 extensions   | pg_stat_statements           |               41 | jit_inlining_time                   | double precision         | YES
 extensions   | pg_stat_statements           |               42 | jit_optimization_count              | bigint                   | YES
 extensions   | pg_stat_statements           |               43 | jit_optimization_time               | double precision         | YES
 extensions   | pg_stat_statements           |               44 | jit_emission_count                  | bigint                   | YES
 extensions   | pg_stat_statements           |               45 | jit_emission_time                   | double precision         | YES
 extensions   | pg_stat_statements           |               46 | jit_deform_count                    | bigint                   | YES
 extensions   | pg_stat_statements           |               47 | jit_deform_time                     | double precision         | YES
 extensions   | pg_stat_statements           |               48 | stats_since                         | timestamp with time zone | YES
 extensions   | pg_stat_statements           |               49 | minmax_stats_since                  | timestamp with time zone | YES
 extensions   | pg_stat_statements_info      |                1 | dealloc                             | bigint                   | YES
 extensions   | pg_stat_statements_info      |                2 | stats_reset                         | timestamp with time zone | YES
 net          | _http_response               |                1 | id                                  | bigint                   | YES
 net          | _http_response               |                2 | status_code                         | integer                  | YES
 net          | _http_response               |                3 | content_type                        | text                     | YES
 net          | _http_response               |                4 | headers                             | jsonb                    | YES
 net          | _http_response               |                5 | content                             | text                     | YES
 net          | _http_response               |                6 | timed_out                           | boolean                  | YES
 net          | _http_response               |                7 | error_msg                           | text                     | YES
 net          | _http_response               |                8 | created                             | timestamp with time zone | NO
 net          | http_request_queue           |                1 | id                                  | bigint                   | NO
 net          | http_request_queue           |                2 | method                              | text                     | NO
 net          | http_request_queue           |                3 | url                                 | text                     | NO
 net          | http_request_queue           |                4 | headers                             | jsonb                    | YES
 net          | http_request_queue           |                5 | body                                | bytea                    | YES
 net          | http_request_queue           |                6 | timeout_milliseconds                | integer                  | NO
 public       | coop_balances                |                1 | profile_id                          | uuid                     | NO
 public       | coop_balances                |                2 | balance_cents                       | integer                  | NO
 public       | coop_balances                |                3 | updated_at                          | timestamp with time zone | NO
 public       | coop_ledger                  |                1 | id                                  | uuid                     | NO
 public       | coop_ledger                  |                2 | profile_id                          | uuid                     | NO
 public       | coop_ledger                  |                3 | order_id                            | uuid                     | YES
 public       | coop_ledger                  |                4 | delta_cents                         | integer                  | NO
 public       | coop_ledger                  |                5 | reason                              | text                     | NO
 public       | coop_ledger                  |                6 | metadata                            | jsonb                    | NO
 public       | coop_ledger                  |                7 | created_at                          | timestamp with time zone | NO
 public       | emails_sortants              |                1 | id                                  | uuid                     | NO
 public       | emails_sortants              |                2 | kind                                | text                     | NO
 public       | emails_sortants              |                3 | status                              | text                     | NO
 public       | emails_sortants              |                4 | to_profile_id                       | uuid                     | YES
 public       | emails_sortants              |                5 | facture_id                          | uuid                     | YES
 public       | emails_sortants              |                6 | payload                             | jsonb                    | NO
 public       | emails_sortants              |                7 | try_count                           | integer                  | NO
 public       | emails_sortants              |                8 | last_error                          | text                     | YES
 public       | emails_sortants              |                9 | created_at                          | timestamp with time zone | NO
 public       | emails_sortants              |               10 | sent_at                             | timestamp with time zone | YES
 public       | emails_sortants              |               11 | locked_at                           | timestamp with time zone | YES
 public       | emails_sortants              |               12 | provider_message_id                 | text                     | YES
 public       | exploitation_labels          |                1 | id                                  | uuid                     | NO
 public       | exploitation_labels          |                2 | profile_id                          | uuid                     | NO
 public       | exploitation_labels          |                3 | label                               | text                     | NO
 public       | exploitation_labels          |                4 | description                         | text                     | YES
 public       | exploitation_labels          |                5 | label_type                          | text                     | YES
 public       | exploitation_labels          |                6 | created_at                          | timestamp with time zone | NO
 public       | exploitation_labels          |                7 | obtained_year                       | integer                  | YES
 public       | facture_lignes               |                1 | id                                  | uuid                     | NO
 public       | facture_lignes               |                2 | facture_id                          | uuid                     | NO
 public       | facture_lignes               |                3 | label                               | text                     | NO
 public       | facture_lignes               |                4 | quantity                            | numeric                  | NO
 public       | facture_lignes               |                5 | unit_ttc_cents                      | integer                  | NO
 public       | facture_lignes               |                6 | total_ttc_cents                     | integer                  | NO
 public       | facture_lignes               |                7 | vat_rate                            | numeric                  | NO
 public       | facture_lignes               |                8 | total_ht_cents                      | integer                  | NO
 public       | facture_lignes               |                9 | total_tva_cents                     | integer                  | NO
 public       | facture_lignes               |               10 | metadata                            | jsonb                    | NO
 public       | facture_sequences_producteur |                1 | producer_profile_id                 | uuid                     | NO
 public       | facture_sequences_producteur |                2 | year                                | integer                  | NO
 public       | facture_sequences_producteur |                3 | last_prod_client                    | integer                  | NO
 public       | facture_sequences_producteur |                4 | last_plat_prod                      | integer                  | NO
 public       | facture_sequences_producteur |                5 | updated_at                          | timestamp with time zone | NO
 public       | factures                     |                1 | id                                  | uuid                     | NO
 public       | factures                     |                2 | serie                               | text                     | NO
 public       | factures                     |                3 | producer_profile_id                 | uuid                     | NO
 public       | factures                     |                4 | order_id                            | uuid                     | NO
 public       | factures                     |                5 | payment_id                          | uuid                     | YES
 public       | factures                     |                6 | client_profile_id                   | uuid                     | YES
 public       | factures                     |                7 | numero                              | text                     | NO
 public       | factures                     |                8 | issued_at                           | timestamp with time zone | NO
 public       | factures                     |                9 | currency                            | text                     | NO
 public       | factures                     |               10 | total_ttc_cents                     | integer                  | NO
 public       | factures                     |               11 | total_ht_cents                      | integer                  | NO
 public       | factures                     |               12 | total_tva_cents                     | integer                  | NO
 public       | factures                     |               13 | mention_tva                         | text                     | YES
 public       | factures                     |               14 | seller_snapshot                     | jsonb                    | NO
 public       | factures                     |               15 | buyer_snapshot                      | jsonb                    | NO
 public       | factures                     |               16 | pdf_path                            | text                     | YES
 public       | factures                     |               17 | status                              | text                     | NO
 public       | factures                     |               18 | created_at                          | timestamp with time zone | NO
 public       | factures                     |               19 | updated_at                          | timestamp with time zone | NO
 public       | legal_documents              |                1 | id                                  | uuid                     | NO
 public       | legal_documents              |                2 | profile_id                          | uuid                     | NO
 public       | legal_documents              |                3 | legal_entity_id                     | uuid                     | YES
 public       | legal_documents              |                4 | doc_type                            | text                     | NO
 public       | legal_documents              |                5 | status                              | text                     | NO
 public       | legal_documents              |                6 | template_version                    | text                     | NO
 public       | legal_documents              |                7 | generated_pdf_path                  | text                     | YES
 public       | legal_documents              |                8 | signed_pdf_path                     | text                     | YES
 public       | legal_documents              |                9 | submitted_at                        | timestamp with time zone | YES
 public       | legal_documents              |               10 | reviewed_at                         | timestamp with time zone | YES
 public       | legal_documents              |               11 | reviewer_profile_id                 | uuid                     | YES
 public       | legal_documents              |               12 | rejection_reason                    | text                     | YES
 public       | legal_documents              |               13 | created_at                          | timestamp with time zone | NO
 public       | legal_documents              |               14 | updated_at                          | timestamp with time zone | NO
 public       | legal_entities               |                1 | id                                  | uuid                     | NO
 public       | legal_entities               |                2 | profile_id                          | uuid                     | NO
 public       | legal_entities               |                3 | legal_name                          | text                     | NO
 public       | legal_entities               |                4 | siret                               | text                     | NO
 public       | legal_entities               |                5 | vat_number                          | text                     | YES
 public       | legal_entities               |                6 | entity_type                         | text                     | NO
 public       | legal_entities               |                7 | created_at                          | timestamp with time zone | NO
 public       | legal_entities               |                8 | updated_at                          | timestamp with time zone | NO
 public       | legal_entities               |                9 | delivery_lead_type                  | text                     | YES
 public       | legal_entities               |               10 | delivery_lead_days                  | integer                  | YES
 public       | legal_entities               |               11 | delivery_fixed_day                  | text                     | YES
 public       | legal_entities               |               12 | chronofresh_enabled                 | boolean                  | YES
 public       | legal_entities               |               13 | chronofresh_min_weight              | numeric                  | YES
 public       | legal_entities               |               14 | chronofresh_max_weight              | numeric                  | YES
 public       | legal_entities               |               15 | producer_delivery_enabled           | boolean                  | YES
 public       | legal_entities               |               16 | producer_delivery_days              | ARRAY                    | YES
 public       | legal_entities               |               17 | producer_delivery_min_weight        | numeric                  | YES
 public       | legal_entities               |               18 | producer_delivery_max_weight        | numeric                  | YES
 public       | legal_entities               |               19 | producer_pickup_enabled             | boolean                  | YES
 public       | legal_entities               |               20 | producer_pickup_days                | ARRAY                    | YES
 public       | legal_entities               |               21 | producer_pickup_start_time          | time without time zone   | YES
 public       | legal_entities               |               22 | producer_pickup_end_time            | time without time zone   | YES
 public       | legal_entities               |               23 | producer_pickup_min_weight          | numeric                  | YES
 public       | legal_entities               |               24 | producer_pickup_max_weight          | numeric                  | YES
 public       | legal_entities               |               25 | producer_category                   | text                     | YES
 public       | legal_entities               |               26 | iban                                | text                     | YES
 public       | legal_entities               |               27 | account_holder_name                 | text                     | YES
 public       | legal_entities               |               28 | platform_fee_percent                | numeric                  | YES
 public       | legal_entities               |               29 | producer_delivery_fee               | numeric                  | YES
 public       | legal_entities               |               30 | producer_delivery_radius_km         | numeric                  | YES
 public       | legal_entities               |               31 | vat_regime                          | text                     | NO
 public       | legal_entities               |               32 | can_receive_sharer_cash             | boolean                  | NO
 public       | legal_entities_public        |                1 | profile_id                          | uuid                     | NO
 public       | legal_entities_public        |                2 | delivery_lead_type                  | text                     | YES
 public       | legal_entities_public        |                3 | delivery_lead_days                  | integer                  | YES
 public       | legal_entities_public        |                4 | delivery_fixed_day                  | text                     | YES
 public       | legal_entities_public        |                5 | chronofresh_enabled                 | boolean                  | YES
 public       | legal_entities_public        |                6 | chronofresh_min_weight              | numeric                  | YES
 public       | legal_entities_public        |                7 | chronofresh_max_weight              | numeric                  | YES
 public       | legal_entities_public        |                8 | producer_delivery_enabled           | boolean                  | YES
 public       | legal_entities_public        |                9 | producer_delivery_days              | ARRAY                    | YES
 public       | legal_entities_public        |               10 | producer_delivery_min_weight        | numeric                  | YES
 public       | legal_entities_public        |               11 | producer_delivery_max_weight        | numeric                  | YES
 public       | legal_entities_public        |               12 | producer_delivery_radius_km         | numeric                  | YES
 public       | legal_entities_public        |               13 | producer_delivery_fee               | numeric                  | YES
 public       | legal_entities_public        |               14 | producer_pickup_enabled             | boolean                  | YES
 public       | legal_entities_public        |               15 | producer_pickup_days                | ARRAY                    | YES
 public       | legal_entities_public        |               16 | producer_pickup_start_time          | text                     | YES
 public       | legal_entities_public        |               17 | producer_pickup_end_time            | text                     | YES
 public       | legal_entities_public        |               18 | producer_pickup_min_weight          | numeric                  | YES
 public       | legal_entities_public        |               19 | producer_pickup_max_weight          | numeric                  | YES
 public       | lot_inputs                   |                1 | id                                  | uuid                     | NO
 public       | lot_inputs                   |                2 | lot_id                              | uuid                     | NO
 public       | lot_inputs                   |                3 | input_name                          | text                     | NO
 public       | lot_inputs                   |                4 | reason                              | text                     | YES
 public       | lot_inputs                   |                5 | details                             | text                     | YES
 public       | lot_inputs                   |                6 | created_at                          | timestamp with time zone | NO
 public       | lot_labels                   |                1 | id                                  | uuid                     | NO
 public       | lot_labels                   |                3 | label                               | text                     | NO
 public       | lot_labels                   |                4 | description                         | text                     | YES
 public       | lot_labels                   |                5 | label_type                          | text                     | YES
 public       | lot_labels                   |                6 | created_at                          | timestamp with time zone | NO
 public       | lot_labels                   |                7 | obtained_year                       | integer                  | YES
 public       | lot_labels                   |                8 | product_id                          | uuid                     | NO
 public       | lot_labels                   |                9 | lot_id                              | uuid                     | YES
 public       | lot_price_breakdown          |                1 | id                                  | uuid                     | NO
 public       | lot_price_breakdown          |                3 | label                               | text                     | NO
 public       | lot_price_breakdown          |                4 | value_type                          | USER-DEFINED             | NO
 public       | lot_price_breakdown          |                5 | value_cents                         | integer                  | YES
 public       | lot_price_breakdown          |                7 | sort_order                          | integer                  | NO
 public       | lot_price_breakdown          |                8 | created_at                          | timestamp with time zone | NO
 public       | lot_price_breakdown          |               10 | stakeholder                         | text                     | YES
 public       | lot_price_breakdown          |               11 | lot_id                              | uuid                     | YES
 public       | lot_price_breakdown          |               12 | source                              | USER-DEFINED             | NO
 public       | lot_price_breakdown          |               13 | platform_cost_code                  | text                     | YES
 public       | lot_price_breakdown          |               14 | stakeholder_key                     | text                     | YES
 public       | lot_reservations             |                1 | id                                  | uuid                     | NO
 public       | lot_reservations             |                2 | lot_id                              | uuid                     | NO
 public       | lot_reservations             |                3 | order_id                            | uuid                     | NO
 public       | lot_reservations             |                4 | order_item_id                       | uuid                     | NO
 public       | lot_reservations             |                5 | reserved_units                      | integer                  | YES
 public       | lot_reservations             |                6 | reserved_kg                         | numeric                  | YES
 public       | lot_reservations             |                7 | status                              | text                     | NO
 public       | lot_reservations             |                8 | expires_at                          | timestamp with time zone | YES
 public       | lot_reservations             |                9 | created_at                          | timestamp with time zone | NO
 public       | lot_trace_steps              |                1 | id                                  | uuid                     | NO
 public       | lot_trace_steps              |                2 | lot_id                              | uuid                     | NO
 public       | lot_trace_steps              |                3 | product_step_id                     | uuid                     | YES
 public       | lot_trace_steps              |                4 | step_label                          | text                     | YES
 public       | lot_trace_steps              |                5 | occurred_at                         | date                     | YES
 public       | lot_trace_steps              |                6 | location                            | text                     | YES
 public       | lot_trace_steps              |                7 | notes                               | text                     | YES
 public       | lot_trace_steps              |                8 | evidence_label                      | text                     | YES
 public       | lot_trace_steps              |                9 | evidence_url                        | text                     | YES
 public       | lot_trace_steps              |               10 | metadata                            | jsonb                    | NO
 public       | lot_trace_steps              |               11 | created_at                          | timestamp with time zone | NO
 public       | lots                         |                1 | id                                  | uuid                     | NO
 public       | lots                         |                2 | lot_code                            | text                     | NO
 public       | lots                         |                3 | product_id                          | uuid                     | NO
 public       | lots                         |                4 | status                              | USER-DEFINED             | NO
 public       | lots                         |                5 | price_cents                         | integer                  | NO
 public       | lots                         |                6 | stock_units                         | integer                  | YES
 public       | lots                         |                7 | stock_kg                            | numeric                  | YES
 public       | lots                         |                8 | lot_comment                         | text                     | YES
 public       | lots                         |                9 | produced_at                         | date                     | YES
 public       | lots                         |               10 | dlc                                 | date                     | YES
 public       | lots                         |               11 | ddm                                 | date                     | YES
 public       | lots                         |               12 | notes                               | text                     | YES
 public       | lots                         |               13 | metadata                            | jsonb                    | NO
 public       | lots                         |               14 | created_at                          | timestamp with time zone | NO
 public       | lots                         |               15 | updated_at                          | timestamp with time zone | NO
 public       | lots                         |               16 | lot_reference                       | text                     | YES
 public       | notifications                |                1 | id                                  | uuid                     | NO
 public       | notifications                |                2 | profile_id                          | uuid                     | NO
 public       | notifications                |                3 | order_id                            | uuid                     | YES
 public       | notifications                |                4 | title                               | text                     | NO
 public       | notifications                |                5 | message                             | text                     | NO
 public       | notifications                |                6 | notification_type                   | text                     | NO
 public       | notifications                |                7 | event_key                           | text                     | NO
 public       | notifications                |                8 | data                                | jsonb                    | YES
 public       | notifications                |                9 | created_at                          | timestamp with time zone | NO
 public       | notifications                |               10 | read_at                             | timestamp with time zone | YES
 public       | order_items                  |                1 | id                                  | uuid                     | NO
 public       | order_items                  |                2 | order_id                            | uuid                     | NO
 public       | order_items                  |                3 | participant_id                      | uuid                     | NO
 public       | order_items                  |                4 | product_id                          | uuid                     | NO
 public       | order_items                  |                5 | lot_id                              | uuid                     | YES
 public       | order_items                  |                6 | quantity_units                      | integer                  | NO
 public       | order_items                  |                7 | unit_label                          | text                     | YES
 public       | order_items                  |                8 | unit_weight_kg                      | numeric                  | YES
 public       | order_items                  |                9 | unit_base_price_cents               | integer                  | NO
 public       | order_items                  |               10 | unit_delivery_cents                 | integer                  | NO
 public       | order_items                  |               11 | unit_sharer_fee_cents               | integer                  | NO
 public       | order_items                  |               12 | unit_final_price_cents              | integer                  | NO
 public       | order_items                  |               13 | line_total_cents                    | integer                  | NO
 public       | order_items                  |               14 | line_weight_kg                      | numeric                  | NO
 public       | order_items                  |               15 | is_sharer_share                     | boolean                  | NO
 public       | order_items                  |               16 | created_at                          | timestamp with time zone | NO
 public       | order_items                  |               17 | updated_at                          | timestamp with time zone | NO
 public       | order_participants           |                1 | id                                  | uuid                     | NO
 public       | order_participants           |                2 | order_id                            | uuid                     | NO
 public       | order_participants           |                3 | profile_id                          | uuid                     | YES
 public       | order_participants           |                4 | role                                | text                     | NO
 public       | order_participants           |                5 | participation_status                | text                     | NO
 public       | order_participants           |                6 | request_message                     | text                     | YES
 public       | order_participants           |                7 | requested_at                        | timestamp with time zone | NO
 public       | order_participants           |                8 | reviewed_at                         | timestamp with time zone | YES
 public       | order_participants           |                9 | reviewed_by                         | uuid                     | YES
 public       | order_participants           |               10 | pickup_slot_id                      | uuid                     | YES
 public       | order_participants           |               11 | pickup_slot_status                  | text                     | YES
 public       | order_participants           |               12 | pickup_slot_requested_at            | timestamp with time zone | YES
 public       | order_participants           |               13 | pickup_slot_reviewed_at             | timestamp with time zone | YES
 public       | order_participants           |               14 | pickup_slot_reviewed_by             | uuid                     | YES
 public       | order_participants           |               15 | total_weight_kg                     | numeric                  | NO
 public       | order_participants           |               16 | total_amount_cents                  | integer                  | NO
 public       | order_participants           |               17 | created_at                          | timestamp with time zone | NO
 public       | order_participants           |               18 | updated_at                          | timestamp with time zone | NO
 public       | order_participants           |               19 | pickup_code                         | text                     | YES
 public       | order_participants           |               20 | pickup_code_generated_at            | timestamp with time zone | YES
 public       | order_participants           |               21 | picked_up_at                        | timestamp with time zone | YES
 public       | order_participants           |               22 | pickup_slot_time                    | text                     | YES
 public       | order_pickup_slots           |                1 | id                                  | uuid                     | NO
 public       | order_pickup_slots           |                2 | order_id                            | uuid                     | NO
 public       | order_pickup_slots           |                3 | slot_type                           | text                     | NO
 public       | order_pickup_slots           |                4 | day                                 | text                     | YES
 public       | order_pickup_slots           |                5 | slot_date                           | date                     | YES
 public       | order_pickup_slots           |                6 | label                               | text                     | NO
 public       | order_pickup_slots           |                7 | enabled                             | boolean                  | NO
 public       | order_pickup_slots           |                8 | start_time                          | time without time zone   | NO
 public       | order_pickup_slots           |                9 | end_time                            | time without time zone   | NO
 public       | order_pickup_slots           |               10 | sort_order                          | integer                  | NO
 public       | order_pickup_slots           |               11 | created_at                          | timestamp with time zone | NO
 public       | order_pickup_slots           |               12 | updated_at                          | timestamp with time zone | NO
 public       | order_products               |                1 | id                                  | uuid                     | NO
 public       | order_products               |                2 | order_id                            | uuid                     | NO
 public       | order_products               |                3 | product_id                          | uuid                     | NO
 public       | order_products               |                4 | sort_order                          | integer                  | NO
 public       | order_products               |                5 | is_enabled                          | boolean                  | NO
 public       | order_products               |                6 | unit_label                          | text                     | YES
 public       | order_products               |                7 | unit_weight_kg                      | numeric                  | YES
 public       | order_products               |                8 | unit_base_price_cents               | integer                  | NO
 public       | order_products               |                9 | unit_delivery_cents                 | integer                  | NO
 public       | order_products               |               10 | unit_sharer_fee_cents               | integer                  | NO
 public       | order_products               |               11 | unit_final_price_cents              | integer                  | NO
 public       | order_products               |               12 | price_breakdown_snapshot            | jsonb                    | NO
 public       | order_products               |               13 | created_at                          | timestamp with time zone | NO
 public       | order_products               |               14 | updated_at                          | timestamp with time zone | NO
 public       | order_status_history         |                1 | id                                  | uuid                     | NO
 public       | order_status_history         |                2 | order_id                            | uuid                     | NO
 public       | order_status_history         |                3 | from_status                         | text                     | YES
 public       | order_status_history         |                4 | to_status                           | text                     | NO
 public       | order_status_history         |                5 | changed_by                          | uuid                     | YES
 public       | order_status_history         |                6 | note                                | text                     | YES
 public       | order_status_history         |                7 | metadata                            | jsonb                    | NO
 public       | order_status_history         |                8 | created_at                          | timestamp with time zone | NO
 public       | orders                       |                1 | id                                  | uuid                     | NO
 public       | orders                       |                2 | order_code                          | text                     | NO
 public       | orders                       |                3 | created_by                          | uuid                     | NO
 public       | orders                       |                4 | sharer_profile_id                   | uuid                     | NO
 public       | orders                       |                5 | producer_profile_id                 | uuid                     | NO
 public       | orders                       |                6 | product_ids                         | ARRAY                    | NO
 public       | orders                       |                7 | title                               | text                     | NO
 public       | orders                       |                8 | visibility                          | text                     | NO
 public       | orders                       |                9 | status                              | text                     | NO
 public       | orders                       |               10 | deadline                            | date                     | YES
 public       | orders                       |               11 | message                             | text                     | YES
 public       | orders                       |               12 | auto_approve_participation_requests | boolean                  | NO
 public       | orders                       |               13 | allow_sharer_messages               | boolean                  | NO
 public       | orders                       |               14 | auto_approve_pickup_slots           | boolean                  | NO
 public       | orders                       |               15 | min_weight_kg                       | numeric                  | NO
 public       | orders                       |               16 | max_weight_kg                       | numeric                  | YES
 public       | orders                       |               17 | ordered_weight_kg                   | numeric                  | NO
 public       | orders                       |               18 | delivery_option                     | text                     | NO
 public       | orders                       |               19 | delivery_street                     | text                     | YES
 public       | orders                       |               20 | delivery_info                       | text                     | YES
 public       | orders                       |               21 | delivery_city                       | text                     | YES
 public       | orders                       |               22 | delivery_postcode                   | text                     | YES
 public       | orders                       |               23 | delivery_address                    | text                     | YES
 public       | orders                       |               24 | estimated_delivery_date             | date                     | YES
 public       | orders                       |               25 | pickup_street                       | text                     | YES
 public       | orders                       |               26 | pickup_info                         | text                     | YES
 public       | orders                       |               27 | pickup_city                         | text                     | YES
 public       | orders                       |               28 | pickup_postcode                     | text                     | YES
 public       | orders                       |               29 | pickup_address                      | text                     | YES
 public       | orders                       |               30 | use_pickup_date                     | boolean                  | NO
 public       | orders                       |               31 | pickup_date                         | date                     | YES
 public       | orders                       |               32 | pickup_window_weeks                 | integer                  | YES
 public       | orders                       |               33 | pickup_delivery_fee_cents           | integer                  | NO
 public       | orders                       |               34 | sharer_percentage                   | numeric                  | NO
 public       | orders                       |               35 | share_mode                          | text                     | NO
 public       | orders                       |               36 | sharer_quantities                   | jsonb                    | NO
 public       | orders                       |               37 | currency                            | text                     | NO
 public       | orders                       |               38 | base_total_cents                    | integer                  | NO
 public       | orders                       |               39 | delivery_fee_cents                  | integer                  | NO
 public       | orders                       |               40 | participant_total_cents             | integer                  | NO
 public       | orders                       |               41 | sharer_share_cents                  | integer                  | NO
 public       | orders                       |               42 | effective_weight_kg                 | numeric                  | NO
 public       | orders                       |               43 | participants_visibility             | jsonb                    | NO
 public       | orders                       |               44 | created_at                          | timestamp with time zone | NO
 public       | orders                       |               45 | updated_at                          | timestamp with time zone | NO
 public       | orders                       |               46 | delivery_lat                        | double precision         | YES
